EPID,PartNumber,,,
110378019,49135,,,
110378844,93998,,,
110378985,50206,,,
110378995,93305,,,
110379064,93456,,,
110379094,23808,,,
110379104,49991,,,
110379114,23276,,,
110379204,49988,,,
110379715,93390,,,
110379725,49218,,,
110379735,50212,,,
110379765,49351,,,
110379795,93614,,,
110380005,23128,,,
110380085,93243,,,
110380125,23386,,,
110381485,22767,,,
110381495,49846,,,
110381505,23272,,,
110381515,93125,,,
110381988,93235,,,
110381998,49704,,,
110383791,93156,,,
110383811,49128,,,
110386273,49229,,,
110386453,23243,,,
110386653,23878,,,
110386842,93215,,,
110387540,93229,,,
110387590,23422,,,
110387600,50205,,,
110387830,23464,,,
110387840,93655,,,
110388571,23741,,,
110388601,49711,,,
110388889,23256,,,
110389461,49028,,,
110390143,50241,,,
110390163,23956,,,
110390595,49928,,,
110390665,49217,,,
110390833,50602,,,
110391860,23760,,,
110392430,93135,,,
110392440,22644,,,
110392480,50832,,,
110395222,49781,,,
110395232,49345,,,
110395262,23517,,,
110395272,23473,,,
110395292,50899,,,
110395302,23975,,,
110396136,93470,,,
110396277,49246,,,
110396297,23479,,,
110396586,23165,,,
110396636,23285,,,
110396646,50886,,,
110396707,49506,,,
110396906,49715,,,
110396936,24204,,,
110396976,49678,,,
110397149,25209,,,
110398706,93364,,,
110398765,23631,,,
110398855,49718,,,
110398865,49676,,,
110400322,49961,,,
110400448,23644,,,
110400468,49892,,,
110400748,49118,,,
110400848,23871,,,
110400888,23376,,,
110400948,49650,,,
110401389,49569,,,
110401399,23865,,,
110402079,23393,,,
110403491,49739,,,
110403721,22834,,,
110403741,23311,,,
110403755,23493,,,
110403765,49178,,,
110403925,49295,,,
110403965,93403,,,
110405698,49915,,,
110405708,23332,,,
110405728,93623,,,
110405768,50800,,,
110408286,49245,,,
110408456,49878,,,
110414093,93171,,,
110414103,49909,,,
110414133,49520,,,
110414163,23519,,,
110414183,93484,,,
110414620,46990,,,
110414833,50204,,,
110414883,23833,,,
110414903,49843,,,
110414913,49257,,,
110415002,49492,,,
110415023,49926,,,
110415043,50807,,,
110415052,49630,,,
110415463,23421,,,
110415483,49378,,,
110415523,49713,,,
110415810,49784,,,
110415840,49519,,,
110415860,23478,,,
110415920,93448,,,
110416096,49228,,,
110416709,22625,,,
110416929,93368,,,
110416949,23260,,,
110416959,23347,,,
110416969,93257,,,
110417283,93246,,,
110417550,50860,,,
110417560,93152,,,
110417570,50883,,,
110418325,23831,,,
110418345,93232,,,
110418445,49272,,,
110418465,49350,,,
110420516,22627,,,
110421336,93206,,,
110421366,49566,,,
110424157,49226,,,
110424297,49677,,,
110424777,22918,,,
110424877,23363,,,
110426740,23397,,,
110426757,50864,,,
110426940,49320,,,
110428058,49426,,,
110428498,22635,,,
110428568,23739,,,
110428698,23864,,,
110429048,23152,,,
110430758,50217,,,
110430808,49668,,,
110434660,23556,,,
110434670,50260,,,
110434926,23133,,,
110434946,55324,,,
110434956,93458,,,
110435126,23428,,,
110435176,49294,,,
110435226,49315,,,
110435236,23773,,,
110435256,93627,,,
110439210,50882,,,
110439220,23388,,,
110439230,49897,,,
110439240,23317,,,
110439250,93259,,,
110441033,23475,,,
110441073,23936,,,
110441103,23287,,,
110441113,49836,,,
110441143,23681,,,
110444707,93236,,,
110444717,23387,,,
110449358,49743,,,
110449787,23846,,,
110449837,93306,,,
110449857,49211,,,
110453700,49574,,,
110453750,49564,,,
110453920,23368,,,
110453980,93992,,,
110454983,50224,,,
110455128,49774,,,
110455198,49980,,,
110455248,49504,,,
110455293,49372,,,
110455353,49439,,,
110464137,23629,,,
110464147,49567,,,
110464157,23241,,,
110464187,93329,,,
110469608,49210,,,
112529854,93444,,,
112532574,49319,,,
112538111,50304,,,
112538121,49220,,,
112542424,23677,,,
112552645,50837,,,
112555651,49641,,,
112559392,49058,,,
112561275,23581,,,
112563732,49151,,,
112563742,23139,,,
112565102,23288,,,
112567594,23573,,,
112571054,49203,,,
112573154,49171,,,
112575152,93404,,,
112576801,49173,,,
112579212,49904,,,
112580506,93377,,,
112580646,49375,,,
112581275,49964,,,
112582175,23404,,,
112582316,93211,,,
112584256,23735,,,
112584876,49719,,,
112590739,23849,,,
112592449,23635,,,
112597429,23222,,,
112597689,23882,,,
112599329,23292,,,
112604582,23227,,,
112605392,23884,,,
112609774,23295,,,
112609914,23632,,,
112616651,49484,,,
112616669,93616,,,
112616897,26205,,,
112616907,24205,,,
112618167,23520,,,
112618177,49628,,,
112618807,49726,,,
112619530,22960,,,
112620597,23630,,,
112620677,93193,,,
112620697,23544,,,
112622838,23335,,,
112626548,49187,,,
112626638,23246,,,
112626958,49497,,,
112627028,93689,,,
112627056,23385,,,
112627246,49745,,,
112627438,23636,,,
112630303,22833,,,
112630914,23275,,,
112633090,49233,,,
112634973,49059,,,
112635333,23381,,,
112635673,49122,,,
112636873,49651,,,
112636883,49449,,,
112636943,49448,,,
112637668,23221,,,
112639097,49986,,,
112641878,23845,,,
112643361,49411,,,
112644077,23578,,,
112644991,23366,,,
112645509,49388,,,
112647210,49268,,,
112652920,49555,,,
112654424,49507,,,
112654663,49744,,,
112656234,49412,,,
112656394,23949,,,
112659191,23649,,,
112668755,23294,,,
112669325,49349,,,
112672465,23979,,,
112677025,49103,,,
112677857,93200,,,
112681561,23320,,,
112682252,93279,,,
112682940,50809,,,
112684316,49490,,,
112686502,49702,,,
112697342,50904,,,
112702191,49996,,,
112704280,93361,,,
112705890,49136,,,
112705993,49379,,,
112707100,23819,,,
112707110,23927,,,
112708736,93107,,,
112709844,93344,,,
112710047,23134,,,
112710928,49556,,,
112715101,95471,,,
112715344,49512,,,
112716035,49653,,,
112716464,93601,,,
112717593,93671,,,
112719741,23834,,,
112719999,49863,,,
112720743,23508,,,
112722241,49146,,,
112724700,93321,,,
112724710,49971,,,
112724830,23821,,,
112724840,49879,,,
112725167,49142,,,
112726983,49626,,,
112727700,23265,,,
112727710,23972,,,
112729180,93300,,,
112729470,93628,,,
112732500,49559,,,
112735072,49873,,,
112735974,49343,,,
112740314,49083,,,
112741482,23534,,,
112741492,49612,,,
112742676,93233,,,
112742827,23344,,,
112743300,23255,,,
112743350,23491,,,
112743620,23837,,,
112744471,49467,,,
112745372,93153,,,
112749101,49667,,,
112750798,23467,,,
112752372,50829,,,
112752882,23318,,,
112763326,23345,,,
112763826,49371,,,
112764077,49709,,,
112765407,23920,,,
112767086,22917,,,
112767232,23551,,,
112767292,49619,,,
112771962,22641,,,
112774185,93615,,,
112778357,23763,,,
112783020,93349,,,
112783120,93188,,,
112784313,49139,,,
112786728,49145,,,
112788543,49852,,,
112790673,49842,,,
112790725,22636,,,
112791182,50211,,,
112791785,49769,,,
112792100,49981,,,
112794066,23144,,,
112795431,23861,,,
112797934,93311,,,
112799873,23558,,,
112802110,23302,,,
112806257,50301,,,
112806451,93352,,,
112806603,22642,,,
112807518,49866,,,
112808067,93342,,,
112808327,27301,,,
112810617,93436,,,
112811028,93110,,,
112811140,49941,,,
112812226,23888,,,
112813957,23977,,,
